0 [0.01, 0.01]
3500 [1.989237e-03, 2.084367e-02]
3510 [1.973489e-03, 2.084019e-02]
3520 [1.990913e-03, 2.089893e-02]
3530 [2.008111e-03, 2.091789e-02]
3540 [2.004299e-03, 2.091845e-02]
3550 [2.016836e-03, 2.093678e-02]
3560 [2.020206e-03, 2.093684e-02]
3570 [2.004609e-03, 2.081175e-02]
3580 [1.947590e-03, 2.068519e-02]
3590 [2.055051e-03, 2.098209e-02]
3600 [1.989706e-03, 2.082210e-02]
3610 [1.814594e-03, 2.039298e-02]
3620 [1.944098e-03, 2.075502e-02]
3630 [1.906278e-03, 2.042058e-02]
3640 [1.940686e-03, 2.057649e-02]
3650 [2.011961e-03, 2.083142e-02]
3660 [1.999152e-03, 2.071789e-02]
3670 [2.035463e-03, 2.085269e-02]
3680 [2.041287e-03, 2.083175e-02]
3690 [2.046450e-03, 2.082787e-02]
3700 [2.070704e-03, 2.085160e-02]
3710 [2.106162e-03, 2.074873e-02]
3720 [1.883066e-03, 2.042866e-02]
3730 [2.054050e-03, 2.073552e-02]
3740 [2.023517e-03, 2.066823e-02]
3750 [2.032997e-03, 2.073275e-02]
3760 [2.028665e-03, 2.074873e-02]
3770 [2.046684e-03, 2.076168e-02]
3780 [2.055542e-03, 2.071929e-02]
3790 [1.861366e-03, 2.022440e-02]
3800 [2.050149e-03, 2.080341e-02]
3810 [2.051537e-03, 2.070778e-02]
3820 [2.043507e-03, 2.064819e-02]
3830 [1.885555e-03, 2.021647e-02]
3840 [2.073603e-03, 2.065595e-02]
3850 [2.122274e-03, 2.074956e-02]
3860 [2.080227e-03, 2.064923e-02]
3870 [2.131595e-03, 2.074944e-02]
3880 [2.158986e-03, 2.069265e-02]
3890 [2.084491e-03, 2.047481e-02]
3900 [2.088355e-03, 2.055679e-02]
3910 [2.073644e-03, 2.062363e-02]
3920 [2.099039e-03, 2.062501e-02]
3930 [2.135735e-03, 2.068725e-02]
3940 [2.126754e-03, 2.067911e-02]
3950 [2.110398e-03, 2.057736e-02]
3960 [2.055985e-03, 2.041175e-02]
3970 [2.190345e-03, 2.073178e-02]
3980 [2.013523e-03, 2.028482e-02]
