0 [0.001, 0.01]
4990 [1.741658e-04, 1.946923e-02]
5000 [1.023860e-04, 1.965774e-02]
5010 [1.358726e-04, 1.967749e-02]
5020 [1.280003e-04, 1.966445e-02]
5030 [1.378412e-04, 1.960906e-02]
5040 [1.311494e-04, 1.954025e-02]
5050 [1.240490e-04, 1.963585e-02]
5060 [1.225287e-04, 1.968095e-02]
5070 [9.527725e-05, 1.963230e-02]
5080 [1.000990e-04, 1.963560e-02]
5090 [1.245493e-04, 1.966576e-02]
5100 [1.445644e-04, 1.968597e-02]
5110 [1.600988e-04, 1.966404e-02]
5120 [1.817551e-04, 1.960957e-02]
5130 [1.312488e-04, 1.950419e-02]
5140 [1.067862e-04, 1.962316e-02]
5150 [1.425649e-04, 1.968793e-02]
5160 [1.250970e-04, 1.961919e-02]
5170 [1.118407e-04, 1.955243e-02]
5180 [1.371948e-04, 1.963229e-02]
5190 [1.446781e-04, 1.967869e-02]
5200 [1.665569e-04, 1.963374e-02]
5210 [1.847280e-04, 1.959691e-02]
5220 [1.149724e-04, 1.970391e-02]
5230 [1.117445e-04, 1.971756e-02]
5240 [1.441945e-04, 1.943677e-02]
5250 [1.245791e-04, 1.958479e-02]
5260 [1.175466e-04, 1.973556e-02]
5270 [1.118423e-04, 1.971808e-02]
5280 [1.058128e-04, 1.968413e-02]
5290 [1.168124e-04, 1.969516e-02]
5300 [1.023807e-04, 1.974009e-02]
5310 [6.491826e-05, 1.950037e-02]
5320 [1.582079e-04, 1.950229e-02]
5330 [1.095916e-04, 1.974118e-02]
5340 [1.371536e-04, 1.970419e-02]
5350 [1.318028e-04, 1.971581e-02]
5360 [1.357516e-04, 1.973863e-02]
5370 [1.390043e-04, 1.973576e-02]
5380 [1.491601e-04, 1.970419e-02]
5390 [1.808778e-04, 1.948804e-02]
5400 [1.207678e-04, 1.960420e-02]
5410 [1.147611e-04, 1.975909e-02]
5420 [1.266857e-04, 1.973272e-02]
5430 [1.083286e-04, 1.965995e-02]
5440 [1.035764e-04, 1.970135e-02]
5450 [9.700032e-05, 1.975499e-02]
5460 [1.008110e-04, 1.972668e-02]
5470 [1.236045e-04, 1.972753e-02]
5480 [1.136474e-04, 1.970918e-02]
5490 [1.086402e-04, 1.959904e-02]
5500 [1.212159e-04, 1.967609e-02]
5510 [1.154615e-04, 1.976627e-02]
5520 [9.743931e-05, 1.977202e-02]
5530 [5.604165e-05, 1.963378e-02]
5540 [1.735056e-04, 1.956933e-02]
5550 [1.052591e-04, 1.979457e-02]
5560 [1.547029e-04, 1.973523e-02]
5570 [1.258846e-04, 1.976134e-02]
5580 [1.419413e-04, 1.974221e-02]
5590 [1.529397e-04, 1.963692e-02]
5600 [1.283232e-04, 1.971111e-02]
5610 [1.197766e-04, 1.977967e-02]
5620 [1.202847e-04, 1.974993e-02]
5630 [1.386313e-04, 1.957385e-02]
5640 [1.393037e-04, 1.967181e-02]
5650 [1.686657e-04, 1.969041e-02]
5660 [1.902263e-04, 1.952793e-02]
5670 [9.574742e-05, 1.970034e-02]
5680 [1.547633e-04, 1.975509e-02]
5690 [1.158933e-04, 1.978793e-02]
5700 [1.165498e-04, 1.963390e-02]
5710 [1.354668e-04, 1.961449e-02]
5720 [1.380011e-04, 1.975654e-02]
5730 [1.270526e-04, 1.978344e-02]
5740 [1.284954e-04, 1.978203e-02]
5750 [1.281695e-04, 1.980580e-02]
5760 [1.149393e-04, 1.981185e-02]
5770 [5.382679e-05, 1.970186e-02]
5780 [1.492906e-04, 1.954128e-02]
5790 [1.438677e-04, 1.972674e-02]
5800 [1.281873e-04, 1.976492e-02]
5810 [1.459073e-04, 1.972035e-02]
5820 [1.449869e-04, 1.977149e-02]
5830 [1.488691e-04, 1.979177e-02]
5840 [1.657971e-04, 1.975747e-02]
5850 [1.894740e-04, 1.946489e-02]
5860 [9.878469e-05, 1.958821e-02]
5870 [1.508079e-04, 1.975944e-02]
5880 [1.223508e-04, 1.979321e-02]
5890 [1.373951e-04, 1.978975e-02]
5900 [1.382691e-04, 1.981569e-02]
5910 [1.329111e-04, 1.981498e-02]
5920 [1.215160e-04, 1.981981e-02]
5930 [6.062016e-05, 1.942961e-02]
5940 [1.450782e-04, 1.947533e-02]
5950 [1.364777e-04, 1.977474e-02]
5960 [1.268445e-04, 1.979691e-02]
5970 [1.204095e-04, 1.980169e-02]
5980 [1.144636e-04, 1.983909e-02]
5990 [9.057401e-05, 1.977471e-02]
6000 [1.300091e-04, 1.973634e-02]
6010 [9.474967e-05, 1.982019e-02]
6020 [8.905351e-05, 1.978109e-02]
6030 [1.406036e-04, 1.974362e-02]
6040 [1.557886e-04, 1.981029e-02]
6050 [1.249254e-04, 1.983741e-02]
6060 [1.233811e-04, 1.984164e-02]
6070 [1.161398e-04, 1.985017e-02]
6080 [8.359518e-05, 1.983012e-02]
6090 [1.291966e-04, 1.969220e-02]
6100 [1.540488e-04, 1.977838e-02]
6110 [1.428748e-04, 1.976171e-02]
6120 [1.616638e-04, 1.953705e-02]
6130 [1.089815e-04, 1.975853e-02]
6140 [1.395481e-04, 1.979938e-02]
6150 [1.604392e-04, 1.970550e-02]
6160 [1.480755e-04, 1.977431e-02]
6170 [1.306182e-04, 1.983910e-02]
6180 [1.300782e-04, 1.974852e-02]
6190 [1.414591e-04, 1.980579e-02]
6200 [1.629130e-04, 1.980274e-02]
6210 [2.244222e-04, 1.963389e-02]
6220 [8.218607e-05, 1.969294e-02]
6230 [1.664447e-04, 1.975622e-02]
6240 [1.168004e-04, 1.984597e-02]
6250 [1.436523e-04, 1.982482e-02]
6260 [1.293507e-04, 1.986896e-02]
6270 [1.407988e-04, 1.984494e-02]
6280 [1.183531e-04, 1.958412e-02]
6290 [1.348236e-04, 1.967115e-02]
6300 [1.387549e-04, 1.984521e-02]
6310 [1.354994e-04, 1.969369e-02]
6320 [1.140225e-04, 1.964745e-02]
6330 [1.347800e-04, 1.980900e-02]
6340 [1.263976e-04, 1.983086e-02]
6350 [8.691609e-05, 1.986219e-02]
6360 [9.471901e-05, 1.971794e-02]
6370 [1.468779e-04, 1.976145e-02]
6380 [1.345349e-04, 1.986198e-02]
